dataset,task,fold,mse,r2,accuracy,f1,roc_auc
bank_marketing,classification,48,,,0.9124787569798495,0.5228325612177366,0.9367987581961412
bank_marketing,classification,49,,,0.9055481364574481,0.494148244473342,0.9310033744415246
bank_marketing,classification,50,,,0.9087046254704383,0.5052631578947369,0.9312348439099646
breast_cancer,classification,1,,,0.8881987577639752,0.9367977528089888,0.8557566220823498
breast_cancer,classification,2,,,0.8919254658385093,0.9384288747346072,0.8513577951028778
breast_cancer,classification,3,,,0.9093167701863354,0.9480427046263346,0.8780726223684525
breast_cancer,classification,4,,,0.8956521739130435,0.9403409090909091,0.8823480649898157
breast_cancer,classification,5,,,0.8893034825870647,0.9378057302585604,0.848966727552738
breast_cancer,classification,6,,,0.8993788819875776,0.9429978888106967,0.8600481605989081
breast_cancer,classification,7,,,0.8881987577639752,0.9365303244005642,0.843215792861741
breast_cancer,classification,8,,,0.9080745341614906,0.9478138222849083,0.8654245046849295
breast_cancer,classification,9,,,0.8906832298136645,0.9376770538243626,0.8793164700866847
breast_cancer,classification,10,,,0.8893034825870647,0.9368346344925479,0.8724496496066282
breast_cancer,classification,11,,,0.8968944099378882,0.9410929737402413,0.8552201797677802
breast_cancer,classification,12,,,0.8881987577639752,0.9369747899159664,0.8301027585055909
breast_cancer,classification,13,,,0.8968944099378882,0.9414255469301341,0.9053238919485969
breast_cancer,classification,14,,,0.8819875776397516,0.9327671620665251,0.839147837620198
breast_cancer,classification,15,,,0.8992537313432836,0.9426751592356688,0.8867757840574
breast_cancer,classification,16,,,0.8869565217391304,0.9361403508771929,0.8432753975633598
breast_cancer,classification,17,,,0.8906832298136645,0.9380281690140845,0.8746274706148822
breast_cancer,classification,18,,,0.9031055900621118,0.9451476793248945,0.851024008773812
breast_cancer,classification,19,,,0.8956521739130435,0.9404255319148936,0.8973284069916158
breast_cancer,classification,20,,,0.8967661691542289,0.9410092395167022,0.8547210582237982
breast_cancer,classification,21,,,0.9105590062111801,0.948936170212766,0.9044059795436664
breast_cancer,classification,22,,,0.8869565217391304,0.9362298528381219,0.8633144982476217
breast_cancer,classification,23,,,0.8981366459627329,0.942008486562942,0.8560069618291491
breast_cancer,classification,24,,,0.901863354037267,0.9437722419928826,0.8472241959168207
breast_cancer,classification,25,,,0.8830845771144279,0.9339887640449438,0.8564401943578906
breast_cancer,classification,26,,,0.8919254658385093,0.9384288747346072,0.8617647760055314
breast_cancer,classification,27,,,0.8956521739130435,0.9409282700421941,0.8744486565100256
breast_cancer,classification,28,,,0.8857142857142857,0.9348441926345609,0.8524783634933124
breast_cancer,classification,29,,,0.8993788819875776,0.942756183745583,0.8861375586187296
breast_cancer,classification,30,,,0.8917910447761194,0.9384288747346072,0.8449076561250194
breast_cancer,classification,31,,,0.8968944099378882,0.9416725228390724,0.8676656414657988
breast_cancer,classification,32,,,0.9118012422360249,0.9497523000707714,0.9180316143337387
breast_cancer,classification,33,,,0.8857142857142857,0.9353932584269663,0.8585461221181127
breast_cancer,classification,34,,,0.9006211180124224,0.9432624113475178,0.8293662071905641
breast_cancer,classification,35,,,0.8781094527363185,0.9303977272727273,0.8477251292336712
breast_cancer,classification,36,,,0.8857142857142857,0.9353932584269663,0.8924254345182748
breast_cancer,classification,37,,,0.9006211180124224,0.9434229137199435,0.8817323510478507
breast_cancer,classification,38,,,0.884472049689441,0.9339019189765458,0.8543737930047922
breast_cancer,classification,39,,,0.8956521739130435,0.9410112359550562,0.8285609397944199
breast_cancer,classification,40,,,0.904228855721393,0.9455060155697098,0.8515812470900039
breast_cancer,classification,41,,,0.8993788819875776,0.9423487544483986,0.8768566864554277
breast_cancer,classification,42,,,0.8906832298136645,0.9381153305203939,0.8608945473618959
breast_cancer,classification,43,,,0.8919254658385093,0.9387755102040817,0.8472808335121473
breast_cancer,classification,44,,,0.8981366459627329,0.942008486562942,0.9007271090900479
breast_cancer,classification,45,,,0.8905472636815921,0.9380281690140845,0.8449195945703951
breast_cancer,classification,46,,,0.8819875776397516,0.9326718639262934,0.8648046157880933
breast_cancer,classification,47,,,0.9093167701863354,0.9481165600568585,0.8780249386071574
breast_cancer,classification,48,,,0.8881987577639752,0.9366197183098591,0.8500464916672625
breast_cancer,classification,49,,,0.8944099378881988,0.940014114326041,0.8560821372744066
breast_cancer,classification,50,,,0.8893034825870647,0.9376313945339874,0.8614304645249096
credit,classification,1,,,0.75,0.8299319727891157,0.781547619047619
credit,classification,2,,,0.725,0.8096885813148789,0.7550000000000001
credit,classification,3,,,0.75,0.8299319727891157,0.794404761904762
credit,classification,4,,,0.76,0.8378378378378378,0.8063095238095237
credit,classification,5,,,0.76,0.8367346938775511,0.8019047619047618
credit,classification,6,,,0.745,0.8235294117647058,0.7713095238095238
credit,classification,7,,,0.76,0.8309859154929577,0.8051190476190476
credit,classification,8,,,0.825,0.8844884488448845,0.8232142857142858
credit,classification,9,,,0.73,0.815068493150685,0.7836904761904762
credit,classification,10,,,0.715,0.8067796610169492,0.7315476190476192
credit,classification,11,,,0.765,0.842809364548495,0.7784523809523809
credit,classification,12,,,0.735,0.8178694158075601,0.7639285714285714
credit,classification,13,,,0.735,0.8191126279863481,0.743095238095238
credit,classification,14,,,0.81,0.8707482993197279,0.8430952380952381
credit,classification,15,,,0.73,0.8137931034482758,0.7546428571428571
credit,classification,16,,,0.77,0.8486842105263158,0.8317857142857142
credit,classification,17,,,0.76,0.8378378378378378,0.799404761904762
credit,classification,18,,,0.72,0.8055555555555556,0.7019047619047619
credit,classification,19,,,0.735,0.822742474916388,0.7804761904761904
credit,classification,20,,,0.775,0.8421052631578947,0.7969047619047619
credit,classification,21,,,0.76,0.8297872340425532,0.7877380952380951
credit,classification,22,,,0.7,0.7902097902097902,0.7677380952380953
credit,classification,23,,,0.755,0.835016835016835,0.7814285714285715
credit,classification,24,,,0.79,0.8571428571428571,0.7792857142857144
credit,classification,25,,,0.79,0.8581081081081081,0.8432142857142857
credit,classification,26,,,0.745,0.8235294117647058,0.7685714285714286
credit,classification,27,,,0.77,0.8466666666666667,0.8111904761904761
credit,classification,28,,,0.755,0.8372093023255814,0.7864285714285715
credit,classification,29,,,0.745,0.8247422680412371,0.8146428571428571
credit,classification,30,,,0.75,0.8263888888888888,0.797142857142857
credit,classification,31,,,0.755,0.8292682926829268,0.8017857142857143
credit,classification,32,,,0.76,0.8389261744966443,0.7722619047619049
credit,classification,33,,,0.76,0.8344827586206897,0.8248809523809524
credit,classification,34,,,0.785,0.8552188552188552,0.8207142857142856
credit,classification,35,,,0.75,0.8263888888888888,0.7613095238095239
credit,classification,36,,,0.735,0.8140350877192982,0.7902380952380952
credit,classification,37,,,0.725,0.8208469055374593,0.771547619047619
credit,classification,38,,,0.74,0.8231292517006803,0.7746428571428572
credit,classification,39,,,0.76,0.84,0.7797619047619048
credit,classification,40,,,0.76,0.8309859154929577,0.8125
credit,classification,41,,,0.78,0.8472222222222222,0.8120238095238096
credit,classification,42,,,0.765,0.8395904436860068,0.8022619047619047
credit,classification,43,,,0.71,0.795774647887324,0.7304761904761905
credit,classification,44,,,0.72,0.8133333333333334,0.7633333333333334
credit,classification,45,,,0.755,0.8403908794788274,0.7995238095238095
credit,classification,46,,,0.72,0.8120805369127517,0.7607142857142857
credit,classification,47,,,0.78,0.8482758620689655,0.8254761904761906
credit,classification,48,,,0.725,0.8122866894197952,0.7526190476190476
credit,classification,49,,,0.73,0.815068493150685,0.7659523809523808
credit,classification,50,,,0.8,0.8648648648648649,0.8484523809523811
heart,classification,1,,,0.8829268292682927,0.883495145631068,0.935142857142857
heart,classification,2,,,0.8829268292682927,0.8899082568807339,0.9581904761904761
heart,classification,3,,,0.8585365853658536,0.8625592417061612,0.9328571428571428
heart,classification,4,,,0.848780487804878,0.8597285067873304,0.9226666666666666
heart,classification,5,,,0.8634146341463415,0.8771929824561403,0.9412044978082714
heart,classification,6,,,0.8829268292682927,0.8899082568807339,0.9393333333333332
heart,classification,7,,,0.8390243902439024,0.8533333333333334,0.9144761904761906
heart,classification,8,,,0.8341463414634146,0.8380952380952381,0.933047619047619
heart,classification,9,,,0.8682926829268293,0.8755760368663594,0.954
heart,classification,10,,,0.8926829268292683,0.8962264150943396,0.9475890985324947
heart,classification,11,,,0.8634146341463415,0.8738738738738738,0.9334285714285715
heart,classification,12,,,0.8731707317073171,0.8796296296296297,0.9447619047619048
heart,classification,13,,,0.8975609756097561,0.9004739336492891,0.9454285714285713
heart,classification,14,,,0.8634146341463415,0.8703703703703703,0.9475238095238095
heart,classification,15,,,0.8585365853658536,0.867579908675799,0.912044978082714
heart,classification,16,,,0.8780487804878049,0.8858447488584474,0.9498095238095238
heart,classification,17,,,0.8634146341463415,0.8703703703703703,0.9417142857142858
heart,classification,18,,,0.8926829268292683,0.897196261682243,0.9540000000000001
heart,classification,19,,,0.8731707317073171,0.8796296296296297,0.9361904761904762
heart,classification,20,,,0.8390243902439024,0.8450704225352113,0.90041928721174
heart,classification,21,,,0.8878048780487805,0.8899521531100478,0.9483809523809524
heart,classification,22,,,0.8926829268292683,0.8990825688073395,0.9462857142857143
heart,classification,23,,,0.848780487804878,0.8584474885844748,0.9384761904761905
heart,classification,24,,,0.8585365853658536,0.8733624454148472,0.9499047619047619
heart,classification,25,,,0.8146341463414634,0.819047619047619,0.9053744997141224
heart,classification,26,,,0.8926829268292683,0.897196261682243,0.9512380952380953
heart,classification,27,,,0.8975609756097561,0.9023255813953488,0.9575238095238096
heart,classification,28,,,0.8341463414634146,0.8454545454545455,0.9142857142857143
heart,classification,29,,,0.8390243902439024,0.8533333333333334,0.918952380952381
heart,classification,30,,,0.8926829268292683,0.8952380952380953,0.9367257480465028
heart,classification,31,,,0.8439024390243902,0.8571428571428571,0.9165714285714286
heart,classification,32,,,0.8439024390243902,0.8504672897196262,0.9407619047619047
heart,classification,33,,,0.9024390243902439,0.9056603773584906,0.9634285714285715
heart,classification,34,,,0.8731707317073171,0.8761904761904762,0.9378095238095238
heart,classification,35,,,0.848780487804878,0.8584474885844748,0.9272917857823518
heart,classification,36,,,0.8439024390243902,0.8490566037735849,0.9400952380952381
heart,classification,37,,,0.8439024390243902,0.8558558558558559,0.9242857142857144
heart,classification,38,,,0.8048780487804879,0.8130841121495327,0.9032380952380952
heart,classification,39,,,0.9024390243902439,0.908256880733945,0.9603809523809523
heart,classification,40,,,0.926829268292683,0.9295774647887324,0.9664570230607965
heart,classification,41,,,0.8731707317073171,0.8773584905660378,0.9420000000000001
heart,classification,42,,,0.8780487804878049,0.8878923766816144,0.9399047619047619
heart,classification,43,,,0.8682926829268293,0.8767123287671232,0.949809523809524
heart,classification,44,,,0.8341463414634146,0.8440366972477065,0.9268571428571428
heart,classification,45,,,0.8682926829268293,0.8755760368663594,0.9249094720792834
heart,classification,46,,,0.8585365853658536,0.8625592417061612,0.9237142857142858
heart,classification,47,,,0.9024390243902439,0.9074074074074074,0.9716190476190476
heart,classification,48,,,0.8878048780487805,0.892018779342723,0.9411428571428572
heart,classification,49,,,0.848780487804878,0.8571428571428571,0.9133333333333332
heart,classification,50,,,0.8341463414634146,0.8508771929824561,0.9340575566990661
ionosphere,classification,1,,,0.9154929577464789,0.9361702127659575,0.9606837606837607
ionosphere,classification,2,,,0.8142857142857143,0.8631578947368421,0.8373333333333334
